编号,肌肉,test1 熵值/RMS,test2熵值/RMS,test3熵值/RMS,test4熵值/RMS,test5熵值/RMS,平均熵值
,LTB,0.062089918564075426,0.07193143036731443,0.06496305923897829,0.07671462285691245,0.07205145472857134,0.06955009715117039
,,144.6294572267049,143.58445582923414,140.16385881629293,142.91590696476058,136.5149894521008,
,RBB,0.07078835112659367,0.06520896323259918,0.0634878253629474,0.05279980657975592,0.06384720186708971,0.06322642963379718
,,171.91234809380765,180.76391327684476,171.93238587877883,190.07870775188266,174.5698592665758,
,RTB,0.05670572227654581,0.05781323604461953,0.06217688671895739, 0.06107339747703978,0.06291092565969371,0.06013603363537125
,,155.92695780387393,162.88426819314986,172.81280406692417,189.268793906703,180.91785109993347,
,,,,,,,
H06,LBB,0.06672856941896467,0.054464694905784546,0.06537222589778803,0.06637683330282108,0.06892521605064274,0.06437350791520022
,,126.30786714537471,146.7833668375073,160.68323926332678,154.3729009340033,136.78651061457623,
,LTB,0.1309547248949048,0.11946380205691044,0.11943087013986332,0.12013101127011962,0.11824740998432982,0.1216455636692256
,,86.1444558135468,101.70312951858264,113.83265046886785,121.81720838131524,125.81858898124226,
,RBB,0.09124702285842924,0.08531132224407224,0.08539613268004655,0.08499335272066934,0.07768669986679479,0.08492690607400243
,,85.34788600382689,89.21760692111472,91.10857689557938,95.59339120397803,84.60613471015296,
,RTB,0.11944437579626611, 0.13146756366962323,0.11848194627377263,0.12790394674464747,0.12735381226528011,0.12493032894991792
,,69.5448437317305,71.96228326775947,74.55107360462097,76.70477517758862,81.53848157509803,
,,,,,,,
H07,LBB,0.0781957831371909,0.06684380199479457, 0.0666748586018895,0.07080118389471003,0.0713666924094173,0.07077646400760046
,,68.78131746188798,69.7546091523842,68.07889894545319,72.82811980096376,70.70634615738818,
,LTB,0.12233623625771874,0.11344738486629515, 0.10004542630738057,0.1103430543579469,0.11420209499465707, 0.1120748393567997
,,55.81361942295511,51.9781416157474,56.160650423490594,60.329765580661736,58.759177263970855,
,RBB,0.06823079212398343,0.07161598098742906,0.07194821206345793,0.06763210691465261,0.0732960778132561,0.07054463398055583
,,92.94701739339344,93.41517146801262,94.91997029545014,106.20658371955032,101.36100297324643,
,RTB,0.09806531519990581,0.09588450026318786,0.1033956769472404,0.09780432315133493,0.08373697591985942,0.09577735829630568
,,68.22625735716942,68.08577657459749,67.55937173938837,71.56484648401772,73.5840055142554,
,,,,,,,
H08,LBB,0.07990883137595696,0.07029011232482997,0.06567981466317697,0.07495003664197243,0.06859833433103558,0.07188542586739438
,,44.47784795181452,53.156848925286035,50.29715215585931,51.04240891293661,51.85171399166108,
,LTB,0.09625079726477138,0.08880252462606743,0.10264795426469621,0.0979634657787223,0.11121202831454526,0.09937535404976051
,,65.41272441678517,64.78457590416609,60.98997807065204,59.31633119240533,58.33120550103246,
,RBB,0.10096777897868515,0.09409315953382837,0.08654225991868005,0.092649737859975,0.09560331597918027,0.09397125045406976
,,43.712817404157434,46.63131740879836,42.47062464148623,40.44781416042868,39.0897905746342,
,RTB,0.06755940554096508,0.07711586880358891,0.07326857428358659,0.0766768326610975,0.07324389090094442, 0.0735729144380365
,,105.71343559114075,100.30341567604891,103.52477282824354,105.08334518638101,98.63828235400035,
,,,,,,,
H09,LBB,0.04193548756007404,0.04488182643151551,0.0541517821565013,0.052812853100882025,0.056427278632413376,0.05004184557627726
,,50.70860550705401,41.720862235460864,36.87827033431291, 30.24706351945986,32.572549627644925,
,LTB,0.1149277859624357,0.11479629911737944,0.12218698859051193,0.11685602762657211,0.11937231329899202,0.11762788291917825
,,39.65498784876683,34.04540708145104,32.90910653623716,31.786187166692713,28.550605517408826,
